id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi
62527,Ilya Valeryevich Konovalov,M,25.0,192.0,119.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Hammer Throw,,Russia,32.3
62527,Ilya Valeryevich Konovalov,M,29.0,192.0,119.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Hammer Throw,,Russia,32.3
62527,Ilya Valeryevich Konovalov,M,33.0,192.0,119.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Hammer Throw,,Russia,32.3
62528,Ivan Konovalov,M,33.0,175.0,64.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics 3,000 Metres Steeplechase",,Russia,20.9
62529,Pavel Anatolyevich Konovalov,M,29.0,181.0,75.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Canadian Doubles, 500 Metres",,Russia,22.9
62530,Yury Semyonovich Konovalov,M,26.0,183.0,77.0,Soviet Union,RUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics 100 Metres,,Russia,23.0
62530,Yury Semyonovich Konovalov,M,26.0,183.0,77.0,Soviet Union,RUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics 200 Metres,,Russia,23.0
62530,Yury Semyonovich Konovalov,M,26.0,183.0,77.0,Soviet Union,RUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics 4 X 100 Metres Relay,Silver,Russia,23.0
62530,Yury Semyonovich Konovalov,M,30.0,183.0,77.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics 100 Metres,,Russia,23.0
62530,Yury Semyonovich Konovalov,M,30.0,183.0,77.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics 200 Metres,,Russia,23.0
62530,Yury Semyonovich Konovalov,M,30.0,183.0,77.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics 4 X 100 Metres Relay,Silver,Russia,23.0
62531,Yury Anatolyevich Konovalov,M,26.0,172.0,67.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Multihull,,Russia,22.6
62531,Yury Anatolyevich Konovalov,M,30.0,172.0,67.0,Unified Team,RUS,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Multihull,,Russia,22.6
62531,Yury Anatolyevich Konovalov,M,34.0,172.0,67.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Multihull,,Russia,22.6
62532,Lyudmila Vasilyevna Konovalova,F,28.0,174.0,69.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball,,Russia,22.8
62533,Mariya Ivanovna Konovalova (Pantyukhova-),F,33.0,179.0,58.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics 10,000 Metres",,Russia,18.1
62534,Ignatas Konovalovas,M,18.0,190.0,75.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Team Pursuit, 4,000 Metres",,Lithuania,20.8
62534,Ignatas Konovalovas,M,22.0,190.0,75.0,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Road Race, Individual",,Lithuania,20.8
62534,Ignatas Konovalovas,M,30.0,190.0,75.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Road Race, Individual",,Lithuania,20.8
62562,Ilya Konstantinov,M,26.0,193.0,90.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo,,Russia,24.2
62565,Roman Aleksandrovich Konstantinov,M,24.0,177.0,94.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Middle-Heavyweight,,Russia,30.0
62567,Vitaly Viktorovich Konstantinov,M,23.0,164.0,52.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Flyweight, Greco-Roman",,Russia,19.3
62567,Vitaly Viktorovich Konstantinov,M,27.0,164.0,52.0,Soviet Union,RUS,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Flyweight, Greco-Roman",Gold,Russia,19.3
62568,Tatyana Konstantinova,F,29.0,179.0,97.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Hammer Throw,,Russia,30.3
62570,Svitlana Fyodorovna Konstantynova (-Johnsen),F,23.0,170.0,65.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating 1,500 Metres",,Ukraine,22.5
62570,Svitlana Fyodorovna Konstantynova (-Johnsen),F,23.0,170.0,65.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating 3,000 Metres",,Ukraine,22.5
