id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi,sport_category,Female_M,Male_M,Female_P,Male_P
27522,Olga Demskaya,F,17.0,162.0,42.0,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Group,,Belarus,16.0,Gymnastics,46,52,46.94,53.06
27526,Andrey Nikolayevich Demyanenko,M,24.0,198.0,90.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Coxless Fours,,Belarus,23.0,Paddling,4,22,15.38,84.62
27527,Ivan Demyanenko,M,19.0,179.0,65.0,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Swimming,Swimming 100 Metres Breaststroke,,Uzbekistan,20.3,Aquatics,2,6,25.0,75.0
27528,Valentin Demyanenko,M,28.0,193.0,93.0,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Canadian Singles, 200 Metres",,Azerbaijan,25.0,Paddling,1,4,20.0,80.0
27528,Valentin Demyanenko,M,32.0,193.0,93.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Canadian Singles, 200 Metres",Silver,Azerbaijan,25.0,Paddling,2,4,33.33,66.67
27529,Viktor Leonidovich Demyanenko,M,21.0,167.0,60.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Lightweight,Silver,Russia,21.5,Combat,0,21,0.0,100.0
27530,Sergey Nikolayevich Demyashkevich,M,25.0,188.0,98.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Heavyweight, Greco-Roman",Bronze,Russia,27.7,Combat,6,34,15.0,85.0
27531,Hanna Demydova,F,25.0,178.0,50.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics Triple Jump,,Ukraine,15.8,Combined,53,33,61.63,38.37
27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,19.0,181.0,75.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 4 X 100 Metres Freestyle Relay,,Russia,22.9,Aquatics,23,26,46.94,53.06
27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,19.0,181.0,75.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 200 Metres Individual Medley,Silver,Russia,22.9,Aquatics,23,26,46.94,53.06
