id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi,sport_category,Female_M,Male_M,Female_P,Male_P
27762,Andriy Vasylovych Deryzemlia,M,36.0,188.0,80.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon 12.5 Kilometres Pursuit,,Ukraine,22.6,Skiing,46,32,58.97,41.03
27762,Andriy Vasylovych Deryzemlia,M,36.0,188.0,80.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon 20 Kilometres,,Ukraine,22.6,Skiing,46,32,58.97,41.03
27762,Andriy Vasylovych Deryzemlia,M,36.0,188.0,80.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Ukraine,22.6,Skiing,46,32,58.97,41.03
27791,Svetlana Deshevykh,F,27.0,158.0,54.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing 5 Kilometres,,Kazakhstan,21.6,Skiing,30,40,42.86,57.14
27791,Svetlana Deshevykh,F,27.0,158.0,54.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing 15 Kilometres,,Kazakhstan,21.6,Skiing,30,40,42.86,57.14
27791,Svetlana Deshevykh,F,27.0,158.0,54.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing 30 Kilometres,,Kazakhstan,21.6,Skiing,30,40,42.86,57.14
27791,Svetlana Deshevykh,F,27.0,158.0,54.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing 5/10 Kilometres Pursuit,,Kazakhstan,21.6,Skiing,30,40,42.86,57.14
27791,Svetlana Deshevykh,F,27.0,158.0,54.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing 4 X 5 Kilometres Relay,,Kazakhstan,21.6,Skiing,30,40,42.86,57.14
27791,Svetlana Deshevykh,F,31.0,158.0,54.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 10 Kilometres,,Kazakhstan,21.6,Skiing,26,41,38.81,61.19
27791,Svetlana Deshevykh,F,31.0,158.0,54.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 30 Kilometres,,Kazakhstan,21.6,Skiing,26,41,38.81,61.19
27791,Svetlana Deshevykh,F,31.0,158.0,54.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 5/5 Kilometres Pursuit,,Kazakhstan,21.6,Skiing,26,41,38.81,61.19
27791,Svetlana Deshevykh,F,31.0,158.0,54.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 4 X 5 Kilometres Relay,,Kazakhstan,21.6,Skiing,26,41,38.81,61.19
27880,Aleksey Desyatchikov,M,27.0,173.0,64.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Athletics,"Athletics 10,000 Metres",,Russia,21.4,Combined,18,49,26.87,73.13
27881,Olga Viktorovna Desyatskaya,F,21.0,163.0,53.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Air Rifle 10 Metres,,Russia,19.9,Target,12,26,31.58,68.42
27882,Sergey Leonidovich Desyukevich,M,25.0,180.0,68.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Two Person Dinghy,,Belarus,21.0,Water,1,3,25.0,75.0
27886,Olga Igorevna Detenyuk,F,15.0,173.0,57.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming 200 Metres Breaststroke,,Russia,19.0,Aquatics,45,50,47.37,52.63
27890,Stanislav Valeryevich Detkov,M,29.0,165.0,72.0,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Parallel Giant Slalom,,Russia,26.4,Skiing,58,76,43.28,56.72
