id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi
132192.0,Aleksey Andreyevich Yakimenko,M,24.0,184.0,80.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Sabre, Team",,Russia,23.6
132192.0,Aleksey Andreyevich Yakimenko,M,28.0,184.0,80.0,Russia,RUS,2012 Summer,2012,Summer,London,Fencing,"Fencing Sabre, Individual",,Russia,23.6
132192.0,Aleksey Andreyevich Yakimenko,M,28.0,184.0,80.0,Russia,RUS,2012 Summer,2012,Summer,London,Fencing,"Fencing Sabre, Team",,Russia,23.6
132192.0,Aleksey Andreyevich Yakimenko,M,32.0,184.0,80.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Sabre, Individual",,Russia,23.6
132193.0,Boris Yakimov,M,24.0,174.0,70.0,Soviet Union,RUS,1956 Winter,1956,Winter,Cortina d'Ampezzo,Speed Skating,"Speed Skating 5,000 Metres",,Russia,23.1
132193.0,Boris Yakimov,M,24.0,174.0,70.0,Soviet Union,RUS,1956 Winter,1956,Winter,Cortina d'Ampezzo,Speed Skating,"Speed Skating 10,000 Metres",,Russia,23.1
132195.0,Yury Aleksandrovich Yakimov,M,23.0,186.0,80.0,Soviet Union,RUS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Quadruple Sculls,Silver,Russia,23.1
132196.0,Mikhail Ivanovich Yakimovich,M,24.0,183.0,82.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Handball,Handball,Gold,Russia,24.5
132197.0,Irina Gennadyevnya Yakoltsevich (-Zhuk),F,23.0,166.0,60.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Pole Vault,,Belarus,21.8
132198.0,Nataliya Yakovchuk,F,26.0,166.0,60.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey,,Kazakhstan,21.8
132199.0,Dmytro Valeriyovych Yakovenko,M,23.0,192.0,70.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics High Jump,,Ukraine,19.0
132200.0,Mariya Ivanovna Yakovenko,F,26.0,174.0,81.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Javelin Throw,,Russia,26.8
132201.0,Nikolay Ivanovich Yakovenko,M,26.0,180.0,100.0,Soviet Union,RUS,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Light-Heavyweight, Greco-Roman",Silver,Russia,30.9
132201.0,Nikolay Ivanovich Yakovenko,M,30.0,180.0,100.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Heavyweight, Greco-Roman",Silver,Russia,30.9
132202.0,Olha Oleksandrivna Yakovenko,F,25.0,159.0,46.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics 20 Kilometres Walk,,Ukraine,18.2
132203.0,Yelena Dmitriyevna Yakovishina,F,21.0,170.0,65.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Downhill,,Russia,22.5
132203.0,Yelena Dmitriyevna Yakovishina,F,21.0,170.0,65.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Super G,,Russia,22.5
132203.0,Yelena Dmitriyevna Yakovishina,F,21.0,170.0,65.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Combined,,Russia,22.5
132204.0,Aleksandr Yevgenyevich Yakovlev,M,36.0,175.0,76.0,Russia,RUS,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Painting,,Russia,24.8
132205.0,Boris Aleksandrovich Yakovlev,M,35.0,173.0,63.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics 50 Kilometres Walk,,Russia,21.0
132206.0,Mikhail Vasilyevich Yakovlev,M,18.0,173.0,72.0,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Football,Football,,Russia,24.1
132207.0,Pavel Kuzmich Yakovlev,M,22.0,183.0,76.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics 1,500 Metres",,Russia,22.7
132208.0,Roman Nikolayevich Yakovlev,M,24.0,201.0,92.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball,Silver,Russia,22.8
132209.0,Sergey Anatolyevich Yakovlev,M,24.0,175.0,70.0,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Road Race, Individual",,Kazakhstan,22.9
132209.0,Sergey Anatolyevich Yakovlev,M,28.0,175.0,70.0,Kazakhstan,KAZ,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Road Race, Individual",,Kazakhstan,22.9
132210.0,Vasyl Leninitovych Yakovlev,M,20.0,179.0,66.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Points Race,,Russia,20.6
132210.0,Vasyl Leninitovych Yakovlev,M,24.0,179.0,66.0,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Cycling,Cycling Points Race,,Ukraine,20.6
132210.0,Vasyl Leninitovych Yakovlev,M,28.0,179.0,66.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Points Race,,Ukraine,20.6
132210.0,Vasyl Leninitovych Yakovlev,M,28.0,179.0,66.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Madison,,Ukraine,20.6
132210.0,Vasyl Leninitovych Yakovlev,M,32.0,179.0,66.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Cycling,Cycling Points Race,,Ukraine,20.6
132210.0,Vasyl Leninitovych Yakovlev,M,32.0,179.0,66.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Cycling,Cycling Madison,,Ukraine,20.6
132211.0,Vladimir Yakovlev,M,42.0,179.0,74.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,,Russia,23.1
132212.0,Vladislav Pavlovich Yakovlev,M,19.0,188.0,85.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Rowing,Rowing Single Sculls,,Kazakhstan,24.0
132212.0,Vladislav Pavlovich Yakovlev,M,23.0,188.0,85.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Single Sculls,,Kazakhstan,24.0
132213.0,Yevhen Oleksandrovych Yakovlev,M,20.0,180.0,68.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,Short Track Speed Skating 500 Metres,,Ukraine,21.0
132213.0,Yevhen Oleksandrovych Yakovlev,M,20.0,180.0,68.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating 1,000 Metres",,Ukraine,21.0
132214.0,Alla Aleksandrovna Yakovleva,F,25.0,163.0,60.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Road Race, Individual",,Russia,22.6
132215.0,Nataliya Yakovleva,F,21.0,180.0,63.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Handball,Handball,,Kazakhstan,19.4
132216.0,Nataliya Yuryevna Yakovleva,F,20.0,178.0,70.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming 100 Metres Butterfly,,Russia,22.1
132216.0,Nataliya Yuryevna Yakovleva,F,20.0,178.0,70.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming 200 Metres Butterfly,,Russia,22.1
132217.0,Olga Leonidovna Yakovleva,F,24.0,186.0,78.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Basketball,Basketball,Bronze,Russia,22.5
132218.0,Valentyna Yakovleva,F,17.0,163.0,66.0,Soviet Union,UKR,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming 100 Metres Butterfly,,Ukraine,24.8
132219.0,Oksana Mykolavna Yakovlieva,F,21.0,163.0,56.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon15 Kilometres,,Ukraine,21.1
132220.0,Sergey Aleksandrovich Yakshin,M,32.0,173.0,67.0,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Skeet,,Kazakhstan,22.4
132221.0,Valentina Vladimirovna Yakshina,F,26.0,168.0,60.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating 1,500 Metres",,Russia,21.3
132221.0,Valentina Vladimirovna Yakshina,F,26.0,168.0,60.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating 3,000 Metres",,Russia,21.3
132221.0,Valentina Vladimirovna Yakshina,F,26.0,168.0,60.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating 5,000 Metres",,Russia,21.3
132221.0,Valentina Vladimirovna Yakshina,F,30.0,168.0,60.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating 1,500 Metres",,Russia,21.3
132221.0,Valentina Vladimirovna Yakshina,F,30.0,168.0,60.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating 3,000 Metres",,Russia,21.3
132223.0,Andrey Aleksandrovich Yakubik,M,22.0,175.0,71.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Football,Football,Bronze,Russia,23.2
132224.0,Nadezhda Vasilyevna Yakubovich (-Parakhina),F,22.0,168.0,73.0,Soviet Union,BLR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Javelin Throw,,Belarus,25.9
132225.0,Vasily Fyodorovich Yakusha,M,22.0,194.0,95.0,Soviet Union,BLR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Single Sculls,Silver,Belarus,25.2
132225.0,Vasily Fyodorovich Yakusha,M,30.0,194.0,95.0,Soviet Union,BLR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Double Sculls,Bronze,Belarus,25.2
132226.0,Nataliya Vasylivna Yakushenko,F,19.0,174.0,78.0,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Luge,Luge Singles,,Russia,25.8
132226.0,Nataliya Vasylivna Yakushenko,F,21.0,174.0,78.0,Ukraine,UKR,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Singles,,Ukraine,25.8
132226.0,Nataliya Vasylivna Yakushenko,F,25.0,174.0,78.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Luge,Luge Singles,,Ukraine,25.8
132226.0,Nataliya Vasylivna Yakushenko,F,33.0,174.0,78.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Luge,Luge Singles,,Ukraine,25.8
132226.0,Nataliya Vasylivna Yakushenko,F,37.0,174.0,78.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Luge,Luge Singles,,Ukraine,25.8
132227.0,Aleksandr Sergeyevich Yakushev,M,25.0,190.0,86.0,Soviet Union,RUS,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey,Gold,Russia,23.8
132227.0,Aleksandr Sergeyevich Yakushev,M,29.0,190.0,86.0,Soviet Union,RUS,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey,Gold,Russia,23.8
132228.0,Viktor Prokhorovich Yakushev,M,22.0,171.0,82.0,Soviet Union,RUS,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey,Bronze,Russia,28.0
132228.0,Viktor Prokhorovich Yakushev,M,26.0,171.0,82.0,Soviet Union,RUS,1964 Winter,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey,Gold,Russia,28.0
132229.0,Marina Aleksandrovna Yakusheva,F,22.0,170.0,55.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Singles,,Russia,19.0
132229.0,Marina Aleksandrovna Yakusheva,F,22.0,170.0,55.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Mixed Doubles,,Russia,19.0
132229.0,Marina Aleksandrovna Yakusheva,F,22.0,170.0,55.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Doubles,,Russia,19.0
132229.0,Marina Aleksandrovna Yakusheva,F,26.0,170.0,55.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Singles,,Russia,19.0
132229.0,Marina Aleksandrovna Yakusheva,F,26.0,170.0,55.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Doubles,,Russia,19.0
