id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region
96225,Yaroslav Pavlovych Popovych,M,24.0,175.0,72.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Road Race, Individual",,Ukraine
96225,Yaroslav Pavlovych Popovych,M,28.0,175.0,72.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Road Race, Individual",,Ukraine
96264,Piret Pormeister,F,20.0,179.0,65.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Sprint,,Estonia
96264,Piret Pormeister,F,20.0,179.0,65.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing 4 X 5 Kilometres Relay,,Estonia
96264,Piret Pormeister,F,20.0,179.0,65.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Team Sprint,,Estonia
96339,Aleksandr Staliyevich Portnov,M,18.0,180.0,73.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Diving,Diving Springboard,Gold,Russia
96339,Aleksandr Staliyevich Portnov,M,27.0,180.0,73.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Diving,Diving Springboard,,Russia
96340,Vladimir Vladimirovich Portnoy,M,29.0,168.0,69.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Individual All-Around,,Russia
96340,Vladimir Vladimirovich Portnoy,M,29.0,168.0,69.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Team All-Around,Silver,Russia
96340,Vladimir Vladimirovich Portnoy,M,29.0,168.0,69.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Floor Exercise,,Russia
96340,Vladimir Vladimirovich Portnoy,M,29.0,168.0,69.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Horse Vault,Bronze,Russia
96340,Vladimir Vladimirovich Portnoy,M,29.0,168.0,69.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Parallel Bars,,Russia
96340,Vladimir Vladimirovich Portnoy,M,29.0,168.0,69.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Horizontal Bar,,Russia
96340,Vladimir Vladimirovich Portnoy,M,29.0,168.0,69.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Rings,,Russia
96340,Vladimir Vladimirovich Portnoy,M,29.0,168.0,69.0,Soviet Union,RUS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Pommelled Horse,,Russia
96350,Lyudmila Nikolayevna Porubayko,F,22.0,168.0,59.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming 100 Metres Breaststroke,,Russia
96350,Lyudmila Nikolayevna Porubayko,F,22.0,168.0,59.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming 200 Metres Breaststroke,,Russia
96354,Galina Poryvayeva,F,20.0,168.0,66.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Kayak Fours, 500 Metres",,Russia
96368,Vladislav Posedkin,M,27.0,182.0,84.0,Russia,RUS,1998 Winter,1998,Winter,Nagano,Bobsleigh,Bobsleigh Four,,Russia
96376,Yelena Aleksandrovna Posevina,F,18.0,176.0,56.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Group,Gold,Russia
96376,Yelena Aleksandrovna Posevina,F,22.0,176.0,56.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Group,Gold,Russia
96380,Svetlana Pospelova,F,20.0,170.0,60.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics 400 Metres,,Russia
96381,Kyrylo Vasylovych Pospieiev,M,28.0,184.0,71.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Road Race, Individual",,Ukraine
96408,Sergiu Postic,M,19.0,186.0,78.0,Moldova,MDA,2004 Summer,2004,Summer,Athina,Swimming,Swimming 200 Metres Breaststroke,,Moldova
96408,Sergiu Postic,M,23.0,186.0,78.0,Moldova,MDA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming 100 Metres Breaststroke,,Moldova
96419,Golnur Nagimullovna Postnikova (-Sungatova),F,23.0,173.0,71.0,Soviet Union,RUS,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Downhill,,Russia
96419,Golnur Nagimullovna Postnikova (-Sungatova),F,23.0,173.0,71.0,Soviet Union,RUS,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Combined,,Russia
96420,Lyudmila Grigoryevna Postnova,F,23.0,183.0,76.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Handball,Handball,Silver,Russia
96420,Lyudmila Grigoryevna Postnova,F,27.0,183.0,76.0,Russia,RUS,2012 Summer,2012,Summer,London,Handball,Handball,,Russia
96422,Valery Ivanovich Postoyanov,M,30.0,186.0,86.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Running Target 50 Metres,,Russia
96423,Serhiy Albertovych Postriekhin,M,22.0,195.0,87.0,Soviet Union,UKR,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Canadian Singles, 500 Metres",Gold,Ukraine
96423,Serhiy Albertovych Postriekhin,M,22.0,195.0,87.0,Soviet Union,UKR,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Canadian Singles, 1,000 Metres",Silver,Ukraine
96424,Yury Viktorovich Postrigay,M,23.0,185.0,81.0,Russia,RUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Kayak Doubles, 200 Metres",Gold,Russia
96433,Yelena Potapenko,F,23.0,165.0,53.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Individual,,Kazakhstan
96434,Aleksandr Yakovlevich Potapov,M,32.0,176.0,72.0,Soviet Union,RUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Dinghy,,Russia
96435,Vasily Fyodorovich Potapov,M,21.0,194.0,96.0,Soviet Union,RUS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Coxed Eights,,Russia
96436,Viktor Yakovlevich Potapov,M,25.0,174.0,74.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed One Person Dinghy,Bronze,Russia
