id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region
96881,Tamara Natanovna Press,F,27.0,180.0,102.0,Soviet Union,RUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Shot Put,Gold,Russia
96881,Tamara Natanovna Press,F,27.0,180.0,102.0,Soviet Union,RUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Discus Throw,Gold,Russia
96924,Serhiy Anatoliyovych Priadun,M,29.0,191.0,120.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Super-Heavyweight, Freestyle",,Ukraine
96926,Vladyslav Oleksandrovych Prianyshnikov,M,21.0,188.0,85.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Shooting,Shooting Running Target 10 Metres,,Ukraine
96964,Lelde Priedulna,F,20.0,163.0,59.0,Latvia,LAT,2014 Winter,2014,Winter,Sochi,Skeleton,Skeleton,,Latvia
96994,Gennady Sergeyevich Prigoda,M,23.0,180.0,75.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 50 Metres Freestyle,Bronze,Russia
96994,Gennady Sergeyevich Prigoda,M,23.0,180.0,75.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 100 Metres Freestyle,,Russia
96994,Gennady Sergeyevich Prigoda,M,23.0,180.0,75.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 4 X 100 Metres Freestyle Relay,Silver,Russia
96994,Gennady Sergeyevich Prigoda,M,23.0,180.0,75.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 4 X 100 Metres Medley Relay,Bronze,Russia
96994,Gennady Sergeyevich Prigoda,M,27.0,180.0,75.0,Unified Team,RUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming 50 Metres Freestyle,,Russia
96994,Gennady Sergeyevich Prigoda,M,27.0,180.0,75.0,Unified Team,RUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming 100 Metres Freestyle,,Russia
96994,Gennady Sergeyevich Prigoda,M,27.0,180.0,75.0,Unified Team,RUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming 4 X 100 Metres Freestyle Relay,Silver,Russia
96995,Kirill Gennadyevich Prigoda,M,20.0,192.0,88.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming 100 Metres Breaststroke,,Russia
97000,Konstantin Vladimirovich Prikhodchenko,M,32.0,185.0,80.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Shooting,Shooting Air Rifle 10 Metres,,Russia
97000,Konstantin Vladimirovich Prikhodchenko,M,36.0,185.0,80.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Air Rifle 10 Metres,,Russia
